	0	1	2	3	4
0	(15.0183373757+0j)	0j	0j	0j	0j
1	0j	(4.24264068712+0j)	0j	0j	0j
2	0j	0j	(4+0j)	0j	0j
3	0j	0j	0j	(3.52839091787+0j)	0j
4	0j	0j	0j	0j	(1+0j)
